actype,version,isa_offset,phase,fl,tas,rocd_lo,rocd_nom,rocd_hi,fuel_lo,fuel_nom,fuel_hi
A21N,thaiapm-202607,15,descent,120,305.0,,1400.0,,,,
A21N,thaiapm-202607,15,climb,140,357.0,2448.0,2097.0,1806.0,,,
A21N,thaiapm-202607,15,descent,140,328.0,,1616.0,,,,
A21N,thaiapm-202607,15,climb,160,369.0,2272.0,1938.0,1647.0,,,
A21N,thaiapm-202607,15,descent,160,347.0,,1736.0,,,,
A21N,thaiapm-202607,15,climb,180,381.0,2078.0,1775.0,1503.0,,,
A21N,thaiapm-202607,15,descent,180,362.0,,1833.0,,,,
A21N,thaiapm-202607,15,climb,200,392.0,1888.0,1608.0,1359.0,,,
A21N,thaiapm-202607,15,descent,200,375.0,,1919.0,,,,
A21N,thaiapm-202607,15,climb,220,405.0,1697.0,1433.0,1192.0,,,
A21N,thaiapm-202607,15,descent,220,386.0,,1975.0,,,,
A21N,thaiapm-202607,15,climb,240,417.0,1519.0,1247.0,1016.0,,,
A21N,thaiapm-202607,15,descent,240,399.0,,2025.0,,,,
A21N,thaiapm-202607,15,climb,260,430.0,1327.0,1072.0,872.0,,,
A21N,thaiapm-202607,15,descent,260,411.0,,2064.0,,,,
A21N,thaiapm-202607,15,climb,280,443.0,1167.0,959.0,792.0,,,
A21N,thaiapm-202607,15,descent,280,424.0,,2064.0,,,,
A21N,thaiapm-202607,15,climb,300,453.0,1142.0,944.0,784.0,,,
A21N,thaiapm-202607,15,descent,300,436.0,,2016.0,,,,
A21N,thaiapm-202607,15,climb,320,449.0,1142.0,936.0,766.0,,,
A21N,thaiapm-202607,15,descent,320,444.0,,1694.0,,,,
A21N,thaiapm-202607,15,cruise,320,449.0,,,,,,
A21N,thaiapm-202607,15,climb,340,445.0,1064.0,878.0,703.0,,,
A21N,thaiapm-202607,15,descent,340,440.0,,1247.0,,,,
A21N,thaiapm-202607,15,cruise,340,445.0,,,,,,
A21N,thaiapm-202607,15,climb,360,441.0,967.0,808.0,641.0,,,
A21N,thaiapm-202607,15,descent,360,436.0,,1056.0,,,,
A21N,thaiapm-202607,15,cruise,360,441.0,,,,,,
A319,thaiapm-202607,15,climb,0,154.0,2562.0,2369.0,2191.0,,,
A319,thaiapm-202607,15,descent,0,111.0,,384.0,,,,
A319,thaiapm-202607,15,climb,5,155.0,2562.0,2369.0,2191.0,,,
A319,thaiapm-202607,15,descent,5,125.0,,545.0,,,,
A319,thaiapm-202607,15,climb,10,156.0,2562.0,2369.0,2191.0,,,
A319,thaiapm-202607,15,descent,10,138.0,,706.0,,,,
A319,thaiapm-202607,15,climb,15,156.0,2402.0,2201.0,2020.0,,,
A319,thaiapm-202607,15,descent,15,150.0,,714.0,,,,
A319,thaiapm-202607,15,climb,20,156.0,2241.0,2033.0,1848.0,,,
A319,thaiapm-202607,15,descent,20,163.0,,722.0,,,,
A319,thaiapm-202607,15,climb,30,156.0,1919.0,1697.0,1506.0,,,
A319,thaiapm-202607,15,descent,30,188.0,,738.0,,,,
A319,thaiapm-202607,15,climb,40,193.0,1992.0,1777.0,1584.0,,,
A319,thaiapm-202607,15,descent,40,211.0,,866.0,,,,
A319,thaiapm-202607,15,climb,60,254.0,2648.0,2319.0,1872.0,,,
A319,thaiapm-202607,15,descent,60,252.0,,1056.0,,,,
A319,thaiapm-202607,15,climb,80,280.0,3255.0,2878.0,2288.0,,,
A319,thaiapm-202607,15,descent,80,277.0,,1231.0,,,,
A319,thaiapm-202607,15,climb,100,301.0,3039.0,2567.0,2047.0,,,
A319,thaiapm-202607,15,descent,100,297.0,,1262.0,,,,
A319,thaiapm-202607,15,climb,120,332.0,2792.0,2344.0,1938.0,,,
A319,thaiapm-202607,15,descent,120,322.0,,1431.0,,,,
A319,thaiapm-202607,15,climb,140,351.0,2673.0,2425.0,2178.0,,,
A319,thaiapm-202607,15,descent,140,342.0,,1753.0,,,,
A319,thaiapm-202607,15,climb,160,361.0,2466.0,2233.0,2008.0,,,
A319,thaiapm-202607,15,descent,160,353.0,,1872.0,,,,
A319,thaiapm-202607,15,climb,180,372.0,2272.0,2055.0,1848.0,,,
A319,thaiapm-202607,15,descent,180,363.0,,1934.0,,,,
A319,thaiapm-202607,15,climb,200,384.0,2055.0,1845.0,1658.0,,,
A319,thaiapm-202607,15,descent,200,375.0,,1984.0,,,,
A319,thaiapm-202607,15,climb,220,395.0,1814.0,1623.0,1456.0,,,
A319,thaiapm-202607,15,descent,220,386.0,,2042.0,,,,
A319,thaiapm-202607,15,climb,240,407.0,1631.0,1448.0,1297.0,,,
A319,thaiapm-202607,15,descent,240,398.0,,2089.0,,,,
A319,thaiapm-202607,15,climb,260,418.0,1569.0,1359.0,1192.0,,,
A319,thaiapm-202607,15,descent,260,411.0,,2144.0,,,,
A319,thaiapm-202607,15,climb,280,425.0,1553.0,1328.0,1119.0,,,
A319,thaiapm-202607,15,descent,280,421.0,,2241.0,,,,
A319,thaiapm-202607,15,climb,300,434.0,1472.0,1205.0,1041.0,,,
A319,thaiapm-202607,15,descent,300,429.0,,2225.0,,,,
A319,thaiapm-202607,15,climb,320,430.0,1391.0,1092.0,994.0,,,
A319,thaiapm-202607,15,descent,320,425.0,,2112.0,,,,
A319,thaiapm-202607,15,cruise,320,444.0,,,,,,
A319,thaiapm-202607,15,climb,340,426.0,1344.0,1072.0,978.0,,,
A319,thaiapm-202607,15,descent,340,422.0,,2050.0,,,,
A319,thaiapm-202607,15,cruise,340,440.0,,,,,,
A319,thaiapm-202607,15,climb,360,422.0,1200.0,1025.0,928.0,,,
A319,thaiapm-202607,15,descent,360,418.0,,1825.0,,,,
A319,thaiapm-202607,15,cruise,360,436.0,,,,,,
A319,thaiapm-202607,15,climb,380,422.0,1041.0,978.0,816.0,,,
A319,thaiapm-202607,15,descent,380,418.0,,1312.0,,,,
A319,thaiapm-202607,15,cruise,380,436.0,,,,,,
A320,thaiapm-202607,15,climb,0,160.0,2544.0,2275.0,2000.0,,,
A320,thaiapm-202607,15,descent,0,116.0,,416.0,,,,
A320,thaiapm-202607,15,climb,5,161.0,2544.0,2275.0,2000.0,,,
A320,thaiapm-202607,15,descent,5,128.0,,577.0,,,,
A320,thaiapm-202607,15,climb,10,162.0,2544.0,2275.0,2000.0,,,
A320,thaiapm-202607,15,descent,10,141.0,,738.0,,,,
A320,thaiapm-202607,15,climb,15,165.0,2339.0,2058.0,1800.0,,,
A320,thaiapm-202607,15,descent,15,152.0,,753.0,,,,
A320,thaiapm-202607,15,climb,20,168.0,2134.0,1841.0,1600.0,,,
A320,thaiapm-202607,15,descent,20,163.0,,769.0,,,,
A320,thaiapm-202607,15,climb,30,173.0,1725.0,1406.0,1200.0,,,
A320,thaiapm-202607,15,descent,30,185.0,,800.0,,,,
A320,thaiapm-202607,15,climb,40,217.0,2231.0,1822.0,1447.0,,,
A320,thaiapm-202607,15,descent,40,208.0,,959.0,,,,
A320,thaiapm-202607,15,climb,60,269.0,2889.0,2494.0,2031.0,,,
A320,thaiapm-202607,15,descent,60,249.0,,1184.0,,,,
A320,thaiapm-202607,15,climb,80,279.0,2977.0,2703.0,2361.0,,,
A320,thaiapm-202607,15,descent,80,276.0,,1344.0,,,,
A320,thaiapm-202607,15,climb,100,292.0,2753.0,2447.0,1914.0,,,
A320,thaiapm-202607,15,descent,100,296.0,,1391.0,,,,
A320,thaiapm-202607,15,climb,120,315.0,2528.0,2222.0,1705.0,,,
A320,thaiapm-202607,15,descent,120,317.0,,1472.0,,,,
A320,thaiapm-202607,15,climb,140,337.0,2350.0,2095.0,1823.0,,,
A320,thaiapm-202607,15,descent,140,333.0,,1647.0,,,,
A320,thaiapm-202607,15,climb,160,353.0,2119.0,1864.0,1559.0,,,
A320,thaiapm-202607,15,descent,160,347.0,,1736.0,,,,
A320,thaiapm-202607,15,climb,180,368.0,1936.0,1703.0,1441.0,,,
A320,thaiapm-202607,15,descent,180,361.0,,1817.0,,,,
A320,thaiapm-202607,15,climb,200,381.0,1783.0,1584.0,1394.0,,,
A320,thaiapm-202607,15,descent,200,374.0,,1911.0,,,,
A320,thaiapm-202607,15,climb,220,392.0,1608.0,1425.0,1239.0,,,
A320,thaiapm-202607,15,descent,220,385.0,,2016.0,,,,
A320,thaiapm-202607,15,climb,240,404.0,1448.0,1264.0,1095.0,,,
A320,thaiapm-202607,15,descent,240,396.0,,2097.0,,,,
A320,thaiapm-202607,15,climb,260,416.0,1312.0,1120.0,967.0,,,
A320,thaiapm-202607,15,descent,260,407.0,,2144.0,,,,
A320,thaiapm-202607,15,climb,280,427.0,1184.0,1009.0,862.0,,,
A320,thaiapm-202607,15,descent,280,417.0,,2167.0,,,,
A320,thaiapm-202607,15,climb,300,438.0,1134.0,970.0,823.0,,,
A320,thaiapm-202607,15,descent,300,428.0,,2183.0,,,,
A320,thaiapm-202607,15,cruise,300,453.0,,,,,,
A320,thaiapm-202607,15,climb,320,439.0,1166.0,986.0,831.0,,,
A320,thaiapm-202607,15,descent,320,435.0,,2167.0,,,,
A320,thaiapm-202607,15,cruise,320,449.0,,,,,,
A320,thaiapm-202607,15,climb,340,435.0,1134.0,959.0,800.0,,,
A320,thaiapm-202607,15,descent,340,431.0,,1944.0,,,,
A320,thaiapm-202607,15,cruise,340,445.0,,,,,,
A320,thaiapm-202607,15,climb,360,432.0,1041.0,878.0,722.0,,,
A320,thaiapm-202607,15,descent,360,427.0,,1503.0,,,,
A320,thaiapm-202607,15,cruise,360,441.0,,,,,,
A320,thaiapm-202607,15,climb,380,431.0,952.0,769.0,566.0,,,
A320,thaiapm-202607,15,descent,380,427.0,,1095.0,,,,
A321,thaiapm-202607,15,climb,0,171.0,2638.0,2384.0,2161.0,,,
A321,thaiapm-202607,15,descent,0,121.0,,416.0,,,,
A321,thaiapm-202607,15,climb,5,172.0,2638.0,2384.0,2161.0,,,
A321,thaiapm-202607,15,descent,5,132.0,,577.0,,,,
A321,thaiapm-202607,15,climb,10,173.0,2638.0,2384.0,2161.0,,,
A321,thaiapm-202607,15,descent,10,143.0,,738.0,,,,
A321,thaiapm-202607,15,climb,15,175.0,2370.0,2116.0,1900.0,,,
A321,thaiapm-202607,15,descent,15,154.0,,753.0,,,,
A321,thaiapm-202607,15,climb,20,177.0,2103.0,1848.0,1640.0,,,
A321,thaiapm-202607,15,descent,20,164.0,,769.0,,,,
A321,thaiapm-202607,15,climb,30,182.0,1569.0,1312.0,1119.0,,,
