fid,area_code,icao_code,airport_identifier,runway_identifier,runway_latitude,runway_longitude,runway_gradient,runway_magnetic_bearing,runway_true_bearing,landing_threshold_elevation,displaced_threshold_distance,threshold_crossing_height,runway_length,runway_width,llz_identifier,llz_mls_gls_category,surface_code,id
3230,PAC,VT,VTBO,RW05,12.27018056,102.31346111,-0.728,51.8,51.096,105,0,40,5906,148,None,None,,
3231,PAC,VT,VTBO,RW23,12.28036111,102.32637222,0.728,231.8,231.099,62,0,50,5906,148,None,None,,
3232,PAC,VT,VTBL,RW05,14.86943333,100.65772778,0.432,47.7,46.541,106,0,50,4396,148,ILOB,"1",,
3233,PAC,VT,VTBL,RW16,14.88388611,100.66002222,0.416,160.7,160.549,103,0,50,7218,148,None,None,,
3234,PAC,VT,VTBL,RW23,14.87774444,100.66680278,-0.432,227.7,226.543,125,0,50,4396,148,None,None,,
3235,PAC,VT,VTBL,RW34,14.86513056,100.666875,-0.416,340.7,340.551,133,0,50,7218,148,None,None,,
3236,PAC,VT,VTBK,RW03,14.09121389,99.91098889,0,31,29.399,32,0,50,8999,148,None,None,,
3237,PAC,VT,VTBK,RW21,14.11280556,99.92353333,0,211,209.402,32,0,58,8999,148,IKPS,"1",,
3238,PAC,VT,VTBI,RW17,14.08231667,101.37918056,0,170,172.235,80,0,50,3346,82,None,None,,
3239,PAC,VT,VTBI,RW35,14.07340556,101.38043333,0,350,352.235,80,0,50,3346,82,None,None,,
3240,PAC,VT,VTBH,RW01,14.94553056,100.64279167,0,10,8.347,95,0,50,3297,90,None,None,,
3241,PAC,VT,VTBH,RW06,14.94625833,100.63735833,0,60,58.037,95,0,50,3297,90,None,None,,
3242,PAC,VT,VTBH,RW19,14.95879167,100.64480556,0,190,188.347,95,0,50,3297,90,None,None,,
3243,PAC,VT,VTBH,RW24,14.95378333,100.64984167,0,240,238.041,95,0,50,3297,90,None,None,,
3244,PAC,VT,VTBD,RW03L,13.89701111,100.59593889,0,29.7,28.561,7,0,55,12139,197,IBKD,"1",,
3245,PAC,VT,VTBD,RW03R,13.89956944,100.60152778,0.017,28.7,28.565,5,0,50,11483,148,None,None,,
3246,PAC,VT,VTBD,RW21L,13.92455833,100.61554444,-0.017,208.7,208.568,7,1148,53,11483,148,IDMG,"1",,
3247,PAC,VT,VTBD,RW21R,13.92635278,100.61239444,0,209.7,208.565,7,0,54,12139,197,IBKK,"2",,
